GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QueueReaderRecycle,com.tigo.josm.gateway.services.order.additionalparameterdto.v1,ObjectFactory,11,0,0,0,4,0,3,0,3,0
QueueReaderRecycle,com.tigo.josm.gateway.services.order.additionalparameterdto.v1,Parameter,6,11,0,0,2,5,2,3,2,3
QueueReaderRecycle,com.tigo.josm.gateway.services.order.additionalparameterdto.v1,AdditionalParameters,0,14,0,2,0,4,0,3,0,2
QueueReaderRecycle,hn.com.tigo.queue.service,CPEComplexServiceProvider,10,52,0,0,4,11,3,2,3,2
QueueReaderRecycle,com.tigo.josm.gateway.services.order.orderresponse.v1,OrderResponse,23,12,2,0,9,4,5,4,4,4
QueueReaderRecycle,com.tigo.josm.gateway.services.order.orderresponse.v1,ObjectFactory,7,0,0,0,3,0,2,0,2,0
QueueReaderRecycle,hn.com.tigo.josm.gateway.services.gateway,ExecuteComplexOrderService,51,36,2,0,16,11,8,3,7,3
QueueReaderRecycle,hn.com.tigo.queue.listener,NewRelicImpl,12,13,0,0,7,9,1,3,1,3
QueueReaderRecycle,hn.com.tigo.queue.listener,ReaderQueueRecycleMasterThread,175,433,9,29,34,103,8,22,1,10
QueueReaderRecycle,hn.com.tigo.queue.listener,ReaderQueueRecycleDaemonThread,106,0,0,0,21,0,5,0,5,0
QueueReaderRecycle,hn.com.tigo.queue.listener.entity,ParametersEntity,88,0,4,0,21,0,5,0,3,0
QueueReaderRecycle,hn.com.tigo.queue.listener.entity,OcepManager,23,0,0,0,8,0,2,0,2,0
QueueReaderRecycle,hn.com.tigo.queue.context,AppCommand,68,0,4,0,13,0,8,0,6,0
QueueReaderRecycle,hn.com.tigo.queue.context,Context,18,0,0,0,9,0,6,0,6,0
QueueReaderRecycle,com.tigo.josm.gateway.services.order.orderresponsedetail.v1,ObjectFactory,7,0,0,0,3,0,2,0,2,0
QueueReaderRecycle,com.tigo.josm.gateway.services.order.orderresponsedetail.v1,OrderResponseDetail,21,3,0,0,9,1,6,1,6,1
QueueReaderRecycle,hn.com.tigo.queue.utils,QueueConstantListener,6,0,0,0,2,0,2,0,2,0
QueueReaderRecycle,hn.com.tigo.queue.utils,States,9,49,0,0,0,5,2,2,2,2
QueueReaderRecycle,hn.com.tigo.queue.utils,ReadFilesConfig,13,65,7,5,2,18,5,4,0,3
QueueReaderRecycle,hn.com.tigo.queue.dto,AttributeValuePair,8,9,0,0,4,3,2,3,2,3
QueueReaderRecycle,hn.com.tigo.queue.dto,DetailSubEventDTO,24,0,0,0,10,0,7,0,7,0
QueueReaderRecycle,hn.com.tigo.queue.dto,NotifyMessageDTO,38,21,0,0,18,7,10,7,10,7
QueueReaderRecycle,hn.com.tigo.queue.dto,ParametersDTO,38,0,0,0,17,0,11,0,11,0
QueueReaderRecycle,hn.com.tigo.queue.dto,ConfigEventDTO,11,6,0,0,5,2,3,2,3,2
QueueReaderRecycle,hn.com.tigo.queue.dto,DetailEventDTO,40,12,0,0,18,4,11,4,11,4
QueueReaderRecycle,hn.com.tigo.queue.dto,DTO,3,0,0,0,1,0,1,0,1,0
QueueReaderRecycle,com.tigo.josm.gateway.services.order.complexorderrequest.v1,ComplexOrderRequest,16,26,1,1,6,10,6,5,5,5
QueueReaderRecycle,com.tigo.josm.gateway.services.order.complexorderrequest.v1,OrderRequestDetail,15,23,0,0,5,11,5,6,5,6
QueueReaderRecycle,com.tigo.josm.gateway.services.order.complexorderrequest.v1,ObjectFactory,40,0,0,0,8,0,6,0,6,0
QueueReaderRecycle,com.tigo.josm.gateway.services.order.complexorderrequest.v1,EnumOrderType,11,73,0,0,2,8,3,3,3,3
